,Model,MAE,MSE,RMSE,R2 Score
12,Feature used : LSTAT,4.864010561669802,46.336305360025925,6.807077593213252,0.43095672846187605
5,Feature used : RM,4.324740740011388,46.90735162739531,6.848894190115314,0.42394386816456286
0,Feature used : CRIM,6.1198661466379605,76.38674157646072,8.739950890963902,0.06191568380189649
4,Feature used : NOX,6.367396065140788,76.95375968209433,8.772329205068306,0.054952292237892886
2,Feature used : INDUS,6.1380508610298214,77.02905244667242,8.776619648057698,0.054027642748776805
11,Feature used : B,6.087835774984442,77.75285601192718,8.817757992365587,0.04513881258583419
9,Feature used : TAX,6.074478687726574,78.30831374720842,8.849198480495756,0.03831739071307794
3,Feature used : CHAS,6.335112715298884,79.36120219345942,8.908490455372302,0.0253871607052224
6,Feature used : AGE,6.0493248055428515,80.3915476111525,8.966133370140804,0.012733775357753663
10,Feature used : PTRATIO,6.414137985074419,81.79497121208001,9.04405723180034,-0.004501279336843522
8,Feature used : RAD,6.407584060597928,82.46499985731934,9.08102416345862,-0.012729714671702252
7,Feature used : DIS,6.369852369073209,82.61874125667717,9.089485203061676,-0.014617770013656495
1,Feature used : ZN,6.152429600235871,84.66034377707906,9.201105573629675,-0.039690122424218544
